Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-9274200-2155414	27-Feb-2024	29-Feb-2024	Approved	Dq4zrwsbRRMA	 	AmazonPrePaidLabel	5.99	USD	UPS	1ZC1G2149045537584	Seller	N	N	B07JVNH4WD	CY034-ChristmasStoryUnionSuit-3XL	Briefly Stated A Christmas Story Bunny Union Suit Pajama Costume (Adult 3X-Large) Pink	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	62.67	1	INVALID_SELLER_REFUND_OR_DEBIT	43327-19982-7929810	GRANT	05-Apr-2024	10.95	62.67
113-4445757-4011456	20-Feb-2024	29-Feb-2024	Approved	Dsyhr9s5RRMA	 	AmazonPrePaidLabel	4.68	USD	USPS	9302010949890031582579	Seller	N	N	B001EYCOLO	Office010-M	The Office Schrute Farm Beets Gray T-shirt Tee (Medium)	1	AMZ-PG-APP-STYLE	Y	C-Returns	RefundAtFirstScan	 	 	15.28	1	ORDER_IN_RE_SELLABLE_CONDITION	12716-00166-3967962	NOGRANT	21-Mar-2024	 	15.28
113-9236277-1162621	21-Feb-2024	29-Feb-2024	Approved	D5ySr1sGRRMA	 	AmazonPrePaidLabel	6.40	USD	UPS	1ZC1G2149045539439	Seller	N	N	B07HZWZ6PR	NasaBoots-PLZZ7270TV-8-9	Ground Up International NASA Astronaut Halloween Costume Accessory Boots White	1	AMZ-PG-APP-STYLE	Y	C-Returns	RefundAtFirstScan	 	 	54.85	1	INVALID_SELLER_REFUND_OR_DEBIT	18381-10467-4321607	GRANT	15-Apr-2024	17.35	54.85
112-0412086-4604200	25-Feb-2024	29-Feb-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B00A81NPXA	drseuss024-XXL	Dr. Seuss Book Spanish One Fish Two Fish Un Pez Dos Peces Adult Light Blue T-shirt (Adult XX-Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	ReturnlessRefund	 	 	10.32	1	 	 	 	 	 	10.32
113-4905762-8230605	26-Feb-2024	29-Feb-2024	Approved	DYyDr8s9RRMA	 	AmazonPrePaidLabel	4.31	USD	USPS	9302010949890031566692	Seller	N	N	B003B4ZQ0Q	bigbang003-L	The Big Bang Theory Sheldon Cooper 20 Sided Dice D20 Adult Red T-Shirt (Adult Large)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	21.45	1	 	 	 	 	 	 
112-7410293-4257866	23-Feb-2024	29-Feb-2024	Approved	Dfy9rysbRRMA	 	AmazonPrePaidLabel	5.99	USD	UPS	1ZC1G2149045522116	Seller	N	N	B09K4RTD45	SquidGameSuit-GREEN-001-2XL	Squid Costume Green Jacket and Pants Halloween Cosplay	1	AMZ-PG-BAD-DESC	Y	C-Returns	AutomatedRefund	 	 	73.84	2	REIMBURSE	42301-74479-0402538	GRANT	19-Mar-2024	 	36.92
112-7410293-4257866	23-Feb-2024	29-Feb-2024	Approved	DKy2rdskRRMA	 	AmazonPrePaidLabel	5.99	USD	UPS	1ZC1G2149045517542	Seller	N	N	B09K4QL6DM	SquidGameSuit-GREEN-218-2XL	Squid Costume Green Jacket and Pants Halloween Cosplay	1	AMZ-PG-BAD-DESC	Y	C-Returns	AutomatedRefund	 	 	73.84	2	REIMBURSE	42301-74479-0402538	GRANT	19-Mar-2024	 	36.92
111-8931365-6247456	20-Feb-2024	29-Feb-2024	Approved	DkFcrGsrRRMA	 	AmazonPrePaidLabel	9.57	USD	UPS	1ZC1G2149045504725	Seller	N	N	B08KR84FQB	220752-RockfordPeachesMENS-L/XL	Rockford Peaches Baseball Player Set Halloween Costume Cosplay	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	RefundAtFirstScan	 	 	76.75	1	BUYER_USED_WRONG_RETURN_REASON_CODE	39743-33529-4034601	GRANT	19-Mar-2024	20.52	76.75
114-1736588-8574620	26-Feb-2024	29-Feb-2024	Approved	DHFdr6szRRMA	 	AmazonPrePaidLabel	6.99	USD	UPS	1ZC1G2149045503048	Customer	N	N	B0CHDMPF7N	220967-RoxburySuit-Blue-L	Roxbury Suit 90's Guys Jacket Pants and Belt Set Halloween Costume Cosplay	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	AutomatedRefund	 	 	137.70	2	 	 	 	 	 	61.86
114-1736588-8574620	26-Feb-2024	29-Feb-2024	Approved	DBFKrhsFRRMA	 	AmazonPrePaidLabel	6.99	USD	UPS	1ZC1G2149045496262	Seller	N	N	B0CHDF6M43	220967-RoxburySuit-Blue-M	Roxbury Suit 90's Guys Jacket Pants and Belt Set Halloween Costume Cosplay	1	CR-DAMAGED_BY_FC	Y	C-Returns	Replacement	 	 	137.70	2	 	 	 	 	 	68.85
