Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
111-8486907-4249818	16-Jul-2024	31-Jul-2024	Approved	D4xrxTGgRRMA	 	AmazonPrePaidLabel	6.77	USD	UPS	1ZF2C2469036303729	Customer	N	N	B0B98NWVDS	220910-WillyWonkaCostume-XL	Costume Agent Chocolate Factory Owner Deluxe Complete Set - Jacket Shirt Gloves Vest Necktie Top Hat for Halloween and Cosplay	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	72.72	1	INVALID_SELLER_REFUND_OR_DEBIT	87110-69873-4489034	GRANT	14-Aug-2024	9.5	65.95
114-1426386-8514638	30-Jun-2024	31-Jul-2024	Approved	DTRsx1GHRRMA	 	AmazonPrePaidLabel	4.43	USD	USPS	9302010949890074960372	Seller	N	N	B07FXWHFQQ	DSTS26LGS-BuzzLightyearJuniotsTshirt-S	Disney Pixar Buzz Lightyear Costume Juniors T-Shirt (Small) White	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	43.40	1	 	 	 	 	 	43.40
112-3392898-1840222	19-Jul-2024	31-Jul-2024	Approved	DQnRxkGcRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036188882	Customer	N	N	B0CLB7CCS1	tmntbackpack2	Costume Agent Super Hero Turtle Shell Backpack with 4 Ninja Masks Halloween Costume Cosplay	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	47.58	1	 	 	 	 	 	 
112-2982169-1916253	26-Jul-2024	31-Jul-2024	Approved	DTqwxbGjRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036181978	Seller	N	N	B07YQBH76Y	220745-AhoySailorCostume-WOMENS-XXL	Costume Agent Adult Womens Robin Ahoy Sailor Halloween Costume Cosplay Set (XXL) Blue	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	54.00	2	 	 	 	 	 	20.28
114-8954523-2469823	24-Jul-2024	31-Jul-2024	Approved	Dfq2x2GqRRMA	 	AmazonPrePaidLabel	4.47	USD	USPS	9302010949890074912685	Seller	N	N	B09V8GYDXM	nwo002N-S	Costume Agent New World Wrestling Adult Black T-shirt (Small)	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	24.84	1	 	 	 	 	 	 
113-2087045-7929067	26-Jul-2024	31-Jul-2024	Approved	DhqgxsGMRRMA	 	AmazonPrePaidLabel	4.28	USD	USPS	9302010949890074914184	Seller	N	N	B00C1NZIUQ	wwe060purple-XXL	WWE Old School Macho Man Glasses Heather Purple Tank Top Shirt (Adult XX-Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	25.46	1	 	 	 	 	 	25.46
112-0507084-6220261	27-Jun-2024	31-Jul-2024	Approved	DFqZx1G9RRMA	 	AmazonPrePaidLabel	4.38	USD	USPS	9302010949890074906615	Customer	N	N	B015TM9GTE	insideoutjoywig	INsideOUT Joy Blue Costume Wig	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	22.41	1	 	 	 	 	 	 
112-4940151-8570600	21-Jul-2024	31-Jul-2024	Approved	DYKW3VGGRRMA	 	AmazonUnPaidLabel	0.00	 	 	 	Customer	N	N	B07G3HQPV1	BrownDreadlocks-1230	Costume Agent Dreadlock Wig - Ideal Caveman, Surfer Dude or Rasta Wig, Adult Dreads Wig for Halloween or Cosplay - Brown	17	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	375.07	17	 	 	 	 	 	 
112-7781187-5596205	20-Jul-2024	31-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B015L2QR1W	machomanbandana-Purple	Macho Man Star Printed Costume Bandana (Purple)	1	AMZ-PG-APP-STYLE	Y	C-Returns	ReturnlessRefund	 	 	35.63	2	 	 	 	 	 	12.77
114-2105124-1345033	05-Jul-2024	31-Jul-2024	Approved	DtK533GHRRMA	 	AmazonPrePaidLabel	5.07	USD	USPS	9302010949890074878462	Seller	N	N	B0BK33L7ZS	RM0242-52-PickleRickPants-L	COCO BRANDS-Rick and Morty Pickle Rick Black and Green Lounge Pants	1	DID_NOT_LIKE_FABRIC	Y	C-Returns	StandardRefund	 	 	19.95	1	 	 	 	 	 	 
111-3360139-3509055	04-Jul-2024	31-Jul-2024	Approved	D7K43tGNRRMA	 	AmazonPrePaidLabel	4.31	USD	USPS	9302010949890074880212	Seller	N	N	B0054KMWQG	caddyshackhat001	Caddyshack Bushwood Country Club Red Baseball Cap Hat	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	23.85	1	ORDER_IN_RE_SELLABLE_CONDITION	60002-66749-3506173	NOGRANT	19-Aug-2024	 	23.85
114-6291008-3277018	27-Jul-2024	31-Jul-2024	Approved	DHX43VGPRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036083539	Seller	N	N	B005MYCCJ6	leagueoftheirowncostume-L/XLdeluxe	Costume Agent Rockford Peaches AAGPBL Baseball Dress Halloween Costume Cosplay	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	47.65	1	ORDER_IN_RE_SELLABLE_CONDITION	91577-44451-7982264	NOGRANT	10-Sep-2024	 	47.65
112-1384653-1519462	04-Jul-2024	31-Jul-2024	Approved	DYXj3hG4RRMA	 	AmazonPrePaidLabel	4.38	USD	USPS	9302010949890074868227	Seller	N	N	B0CVRBH7YF	1814-BlackHat-OS	1814 Music Nation Black Embroidered Snap Back Adjustable Hat	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	17.95	1	 	 	 	 	 	 
111-1027463-4916207	08-Jul-2024	31-Jul-2024	Approved	D5Xv3yGHRRMA	 	AmazonPrePaidLabel	5.80	USD	USPS	9302010949890074859201	Seller	N	N	B07FDL126R	RetroWigHeadband-1191	Costume Agent Retro 80s Aerobics Instructor Deluxe Wig and Headband Costume Set	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	24.37	1	 	 	 	 	 	 
114-4656458-1995461	14-Jul-2024	31-Jul-2024	Approved	DvSm3fGjRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036039506	Customer	N	N	B00FH80HQC	chubsuitcostume002-orange	Costume Agent Adult Tuxedo Inflatable Chub Suit ® Costume Orange	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	AutomatedRefund	 	 	27.37	1	 	 	 	 	 	19.23
113-4826871-6861824	27-Jul-2024	31-Jul-2024	Approved	DZSz36GbRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036016601	Seller	N	N	B07GVM64BW	Ghostbusters-GBXX1A-L	Mad Engine Ghostbusters Adult Costume Zip up Jumpsuit with 4 Interchangeable Patches (L) Beige	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	52.95	1	 	 	 	 	 	 
113-4826871-6861824	27-Jul-2024	31-Jul-2024	Approved	D75X3KGhRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036013328	Seller	N	N	B07GVM64BW	Ghostbusters-GBXX1A-L	Mad Engine Ghostbusters Adult Costume Zip up Jumpsuit with 4 Interchangeable Patches (L) Beige	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	52.95	1	 	 	 	 	 	 
113-1490309-0414615	27-Jun-2024	31-Jul-2024	Approved	Dh5c3wGqRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469036009431	Seller	N	N	B002SBCHXC	roddypiper001-M	Rowdy Roddy Piper Hot Rod Wrestling White Adult T-shirt Tee, Medium	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	75.39	3	 	 	 	 	 	21.95
113-1299722-6315415	16-Jul-2024	31-Jul-2024	Approved	DQNX3WGjRRMA	 	AmazonPrePaidLabel	6.41	USD	UPS	1ZF2C2469035986182	Customer	N	N	B0B835YCSW	leagueoftheirowncostume-3X/4X	Costume Agent A League of Their Own Rockford Peaches Costume AAGPBL with Red Hat & Belt Halloween Cosplay	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	96.64	2	 	 	 	 	 	48.32
111-4573487-9470604	14-Jul-2024	31-Jul-2024	Approved	DrNP3XG1RRMA	 	AmazonPrePaidLabel	4.43	USD	USPS	9302010949890074810752	Seller	N	N	B00CP8M32I	mm001Nblu-M	Adult M&M’S Character Big Face T-Shirt	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	24.84	1	 	 	 	 	 	24.84
113-2631816-9821026	19-Jul-2024	31-Jul-2024	Approved	DYNf3vG4RRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035957678	Seller	N	N	B001GD6EIW	hulkglasses-yellow	Hulkamania Hulk Hogan Red or Yellow Sunglasses (Yellow)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	66.48	3	 	 	 	 	 	 
113-2631816-9821026	19-Jul-2024	31-Jul-2024	Approved	DZNg31GHRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035960146	Seller	N	N	B000HQ6Q4Q	hulk003-XXL	Hulk Hogan "hulkamania" Sleeveless T-shirt Gold [Apparel] Size: XX-Large	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	66.48	3	 	 	 	 	 	 
113-2631816-9821026	19-Jul-2024	31-Jul-2024	Approved	DFNl3mGbRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035959470	Customer	N	N	B0CGVRY6PJ	1272-HulkamaniaBanWigMustache	Costume Agent Red Mania Wrestler Bandana with Attached Wig and Mustache Halloween Costume Cosplay	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	66.48	3	 	 	 	 	 	 
113-3957734-3185867	16-Jul-2024	31-Jul-2024	Approved	DL4s33GfRRMA	 	AmazonPrePaidLabel	5.62	USD	USPS	9302010949890074801651	Seller	N	N	B0B983H6LX	220893-TedLassoSweater-L	Ripple Junction Ted Lasso Coach AFC Richmond Sweater Costume Long-Sleeve Sweatshirts for Cosplay & Halloween Blue	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	53.82	1	 	 	 	 	 	53.82
112-8518686-1406648	24-Jul-2024	31-Jul-2024	Approved	D5y03kGJRRMA	 	AmazonPrePaidLabel	6.41	USD	UPS	1ZF2C2469035911556	Seller	N	N	B00FBPL81E	dodgeball003-XXL	Ripple Junction Stiller Dodgeball Movie Character Average Joes Yellow Jersey Set Halloween Costume Cosplay	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	93.43	2	 	 	 	 	 	47.84
111-2014754-7005834	18-Jul-2024	31-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B07BTFD7NQ	redboa001N	Costume Agent Hulk Hogan Hulkamania Red Feather Boa	1	DID_NOT_LIKE_FABRIC	Y	C-Returns	ReturnlessRefund	 	 	31.21	2	 	 	 	 	 	10.58
111-8350642-6365033	26-Jul-2024	31-Jul-2024	Approved	D73D30GhRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035865517	Seller	N	N	B00939OG7M	tmntapriloneilcostume-S/M	TV Store Teenage Mutant Ninja Turtles April O' Neil Yellow Ladies Costume Jumpsuit (Small/Medium)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	72.37	1	ORDER_IN_RE_SELLABLE_CONDITION	24230-86475-4958330	NOGRANT	12-Sep-2024	 	72.37
111-2578382-6210643	01-Jul-2024	31-Jul-2024	Approved	DB3131G1RRMA	 	AmazonPrePaidLabel	6.77	USD	UPS	1ZF2C2469035854289	Seller	N	N	B076HFSX43	CY034-ChristmasStoryUnionSuit-L	Briefly Stated A Christmas Story Bunny Union Suit Pajama Costume (Adult Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	AutomatedRefund	 	 	118.70	2	ORDER_IN_RE_SELLABLE_CONDITION	84807-99983-1326702	NOGRANT	13-Aug-2024	 	59.35
114-8893400-1285052	15-Jul-2024	31-Jul-2024	Approved	DQ3m3WGkRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035837931	Customer	N	N	B09BXCJ37S	220839-SashFlag	Costume Agent Russell Up Sash Flag Deluxe Halloween Costume Cosplay Complete Set	1	CR-FOUND_BETTER_PRICE	Y	C-Returns	StandardRefund	 	 	67.36	1	 	 	 	 	 	67.36
114-3251507-0625816	21-Jul-2024	31-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B001QWXAE4	flinttropicssocks	flint tropics Semi-pro Jackie Moon Tube Socks	1	CR-UNWANTED_ITEM	Y	C-Returns	ReturnlessRefund	 	 	13.93	1	 	 	 	 	 	13.93
114-1939920-6921813	25-Jul-2024	31-Jul-2024	Approved	DKkj33GdRRMA	 	AmazonPrePaidLabel	7.16	USD	UPS	1ZF2C2469035833659	Seller	N	N	B08GYNRBF5	220757-AverageJoesWomensSet-S	Costume Agent Dodgeball Average Joe's Halloween Costume For Women	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	295.36	5	 	 	 	 	 	 
114-1939920-6921813	25-Jul-2024	31-Jul-2024	Approved	DLkF37GtRRMA	 	AmazonPrePaidLabel	7.16	USD	UPS	1ZF2C2469035833300	Seller	N	N	B08GYCG2S7	220757-AverageJoesWomensSet-M	Costume Agent Dodgeball Average Joe's Halloween Costume For Women	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	295.36	5	 	 	 	 	 	 
114-6197573-1221028	22-Jul-2024	31-Jul-2024	Approved	Dtkr3XGNRRMA	 	AmazonPrePaidLabel	4.31	USD	USPS	9302010949890074715873	Seller	N	N	B0C3J47DGG	220743-FlintTropicsSHORTS-XXL	Costume Agent Flint Tropics White Basketball Shorts Adult Halloween Costume	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	44.21	1	INVALID_SELLER_REFUND_OR_DEBIT	71449-75230-7723363	GRANT	13-Aug-2024	4.31	44.21
113-6223134-1482615	23-Jul-2024	31-Jul-2024	Approved	Dk1Z3jGcRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035750766	Seller	N	N	B005MYCCJ6	leagueoftheirowncostume-L/XLdeluxe	Costume Agent Rockford Peaches AAGPBL Baseball Dress Halloween Costume Cosplay	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	RefundAtFirstScan	 	 	48.10	1	ORDER_IN_RE_SELLABLE_CONDITION	33512-89494-5824712	NOGRANT	13-Aug-2024	 	48.10
114-7995605-8157810	26-Jun-2024	30-Jul-2024	Approved	DZDt3LGpRRMA	 	AmazonPrePaidLabel	4.38	USD	USPS	9302010949890074650402	Seller	N	N	B01JGPD4G6	metallica003-L	Metallica Logo Blue T-Shirt (Adult Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	23.95	1	ORDER_IN_RE_SELLABLE_CONDITION	51007-12907-1616068	NOGRANT	13-Aug-2024	 	23.95
114-1919369-4765838	09-Jul-2024	30-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B0094KMVFO	mylittleponywig-Flower	TV Store My Little Pony Costume Wigs (Flower)	1	AMZ-PG-APP-STYLE	Y	C-Returns	ReturnlessRefund	 	 	14.29	1	 	 	 	 	 	14.29
112-5116425-8029060	21-Jul-2024	30-Jul-2024	Approved	DWD13gG2RRMA	 	AmazonPrePaidLabel	6.41	USD	UPS	1ZF2C2469035698047	Customer	N	N	B0B94TMP7K	220895-MartyMcflyCostume-M	Costume Agent Adult Unisex Marty McFly Denim Shirt Red Puffy Vest Halloween Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	54.07	1	 	 	 	 	 	47.66
114-5371476-1103426	10-Jul-2024	30-Jul-2024	Approved	DQ8h32GpRRMA	 	AmazonPrePaidLabel	5.40	USD	UPS	1ZF2C2469035688496	Seller	N	N	B0CS8H6141	DRSE0D7M-Thing2-Shirt-XL	Dr Seuss Thing 1 and Thing 2 Adult Short Sleeves Red T-Shirt Tee	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	63.03	2	 	 	 	 	 	 
114-3589720-9241827	24-Jul-2024	30-Jul-2024	Approved	DZgM36GYRRMA	 	AmazonPrePaidLabel	6.77	USD	UPS	1ZF2C2469035644434	Seller	N	N	B01LBRLB2G	100576BLACK-L	Caribbean Movies Pirate Boots Adventure Footwear Halloween Costume Cosplay Accessory	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	79.98	1	INVALID_SELLER_REFUND_OR_DEBIT	96386-10108-7119264	GRANT	15-Aug-2024	6.77	79.98
114-7564943-8815468	25-Jul-2024	30-Jul-2024	Approved	DLBB3ZGrRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469035624170	Customer	N	N	B09BWRQ93L	220804-LindaCostume-2XL	Costume Agent The Burger Show Linda Halloween Cosplay Complete Set	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	27.01	1	 	 	 	 	 	21.01
111-5796802-5153800	26-Jul-2024	30-Jul-2024	Approved	DfM53MGjRRMA	 	AmazonPrePaidLabel	6.41	USD	UPS	1ZF2C2469035604996	Customer	N	N	B01LX9S7N5	wrestlingboots-LW	Costume Agent Pro Wrestling Boots Super Hero Wrestler Halloween Cosplay	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	63.67	1	 	 	 	 	 	57.26
111-1286507-8013055	21-Jul-2024	30-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B008KN2NEA	capedressWonderWoman-M	Wonder Woman Red & Blue Costume Tank Dress with Attachable Cape (Wonder Woman) (Juniors Medium)	1	AMZ-PG-APP-STYLE	Y	C-Returns	ReturnlessRefund	 	 	16.19	1	 	 	 	 	 	16.19
112-8303012-1269857	24-Jul-2024	30-Jul-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B005Y4I6VW	fearloathingglasses	Costume Agent Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	ReturnlessRefund	 	 	29.44	2	 	 	 	 	 	15.07
111-1322122-0631439	25-Jul-2024	30-Jul-2024	Approved	Dx2K3YGtRRMA	 	AmazonPrePaidLabel	4.31	USD	USPS	9302010949890074573688	Seller	N	N	B07XYDVKMS	100600-BlueVikingHelmet	Costume Agent Viking Furry Blue Hat Helmet Adult Halloween Costume Accessory	1	CR-DEFECTIVE	Y	C-Returns	AutomatedRefund	 	 	23.27	1	INVALID_EVIDENCE	31749-16215-6730534	NOGRANT	11-Sep-2024	 	23.27
