Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-9603252-8788205	25-Aug-2024	31-Aug-2024	Approved	Df1mmcG1RRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZF2C2469053043559	Seller	N	N	B09LRH17RD	NSSA3485TV-NarutoPants-M	Ripple Junction Naruto Shippuden Akatsuki Cloud Adult Sleep Lounge Pants	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	42.10	2	 	 	 	 	 	21.55
114-0634682-3625005	25-Aug-2024	31-Aug-2024	Approved	D41XmNGYRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZF2C2469053031080	Seller	N	N	B0CG7FV5DX	CY034-ChristmasStoryUnionSuit-4X	Briefly Stated Adult Unisex A Christmas Story Bunny Union Suit Pajama Costume (4X-Large) Pink	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	68.06	1	INVALID_SELLER_REFUND_OR_DEBIT	99196-21602-5819223	GRANT	16-Sep-2024	2.95	68.06
113-6462911-7349835	23-Aug-2024	31-Aug-2024	Approved	Dh7fmsGmRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZF2C2469053027335	Customer	N	N	B0B835NJK9	leagueoftheirowncostume-2X/3X	Costume Agent Rockford Peaches Movie AAGPBL Baseball Dress Halloween Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	48.32	1	 	 	 	 	 	42.31
113-9828252-9898624	20-Aug-2024	31-Aug-2024	Approved	Dj7nmZG3RRMA	 	AmazonPrePaidLabel	5.41	USD	UPS	1ZF2C2469053004850	Seller	N	N	B00K34OI06	flocostume001	Costume Agent Progressive Flo TV Commercial Character Insurance Halloween Costume	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	RefundAtFirstScan	 	 	58.63	1	 	 	 	 	 	59.63
113-9338207-6676225	19-Aug-2024	31-Aug-2024	Approved	D8DDmVGRRRMA	 	AmazonPrePaidLabel	6.79	USD	UPS	1ZF2C2469052983205	Seller	N	N	B09LFN2YGQ	DSSCCXYBNP-HoHoHoPants-M	Mickey Goofy Donald Duck as Santa Ho Ho Ho Christmas Lounge Pants	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	82.48	4	 	 	 	 	 	21.12
112-2328327-0300207	27-Aug-2024	31-Aug-2024	Approved	D28pmcG3RRMA	 	AmazonPrePaidLabel	5.62	USD	USPS	9302010949890083863978	Seller	N	N	B08FDZYGYN	FXMSC20-SpenglerShirt-2XL	Mad Engine Ghostbusters Costume Adult T-Shirt - Short Sleeves	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	25.81	1	 	 	 	 	 	 
112-6211087-1485844	21-Aug-2024	31-Aug-2024	Approved	Ds8MmgGJRRMA	 	AmazonPrePaidLabel	5.15	USD	USPS	9302010949890083837696	Seller	N	N	B000WNNC3W	Offspace001-XXL	Office Space Initech Software Company Logo T-Shirt Gray. XX-Large	1	DID_NOT_LIKE_FABRIC	Y	C-Returns	RefundAtFirstScan	 	 	20.51	1	 	 	 	 	 	20.51
111-3727127-0353020	13-Aug-2024	31-Aug-2024	Approved	DK8pmCG2RRMA	 	AmazonPrePaidLabel	4.68	USD	USPS	9302010949890083831243	Seller	N	N	B07FXY3H35	DSTS26MGS-WoodyJuniorsTshirt-M	Toy Story Woody Costume Juniors T-Shirt (Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	18.60	1	 	 	 	 	 	 
111-5412528-2857865	24-Aug-2024	31-Aug-2024	Approved	D88Bm9G9RRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZF2C2469052939503	Seller	N	N	B09H7MTFZB	220850-ChuckieCostume-10-12T	Costume Agent Chucky Good Guys Doll Child Halloween Cosplay (10/12)	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	64.94	1	ORDER_IN_RE_SELLABLE_CONDITION	83517-52265-0658031	NOGRANT	13-Sep-2024	 	64.94
113-6076024-4187435	19-Aug-2024	31-Aug-2024	Approved	DhgjmJGxRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZF2C2469052938737	Seller	N	N	B0CWVL5559	220960-DuckCarryMeRide	Duck Carry Me Ride Funny Halloween Costume Cosplay Inflatable Chubsuit	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	43.05	1	BUYER_USED_WRONG_RETURN_REASON_CODE	27575-72097-5538255	GRANT	30-Sep-2024	6.06	 
112-7543408-4089863	27-Aug-2024	31-Aug-2024	Approved	DhgZmrGwRRMA	 	AmazonPrePaidLabel	5.07	USD	USPS	9302010949890083835876	Customer	N	N	B0C8KNKP9M	220929-LucyDressAdult-3XL	Costume Agent Lucy Comic Strip Good Grief Adult Halloween Costume Cosplay Blue Dress, 3X-Large	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	27.55	1	 	 	 	 	 	22.48
112-3126218-4607465	12-Aug-2024	31-Aug-2024	Approved	DKg1mKGNRRMA	 	AmazonPrePaidLabel	6.66	USD	USPS	9302010949890083818282	Seller	N	N	B0C9G96PN7	220892-MabelPinesSweater-XS	Rainbow Star Pink Pines Cartoon Cosplay Sweater, Full Knitted Halloween Costume	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	52.15	1	 	 	 	 	 	 
113-0038764-7333841	20-Aug-2024	31-Aug-2024	Approved	DfBymDGRRRMA	 	AmazonPrePaidLabel	5.07	USD	USPS	9302010949890083821411	Seller	N	N	B00CTSCJS2	powerrangers015yellow-L	Power Rangers The Long Sleeve Ranger Costume Yellow T-Shirt (Adult Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	26.45	1	ORDER_IN_RE_SELLABLE_CONDITION	89455-60015-5317320	NOGRANT	23-Sep-2024	 	26.45
112-7473653-2744237	08-Aug-2024	31-Aug-2024	Approved	DvMzmrGZRRMA	 	AmazonPrePaidLabel	4.68	USD	USPS	9302010949890083826249	Seller	N	N	B00FY6HYD6	tmnt056Raph-XS	Teenage Mutant Ninja Turtles Long Sleeve Costume T-Shirt & Eye Mask - Green Raphael - X-Small - Ninja Turtle Costume - Ninja Turtle Shirt & Eye Mask Costume	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	30.18	1	INVALID_SELLER_REFUND_OR_DEBIT	13630-29823-8080262	GRANT	11-Sep-2024	4.68	30.18
113-5949276-5009867	26-Aug-2024	31-Aug-2024	Approved	DLMfmyGmRRMA	 	AmazonPrePaidLabel	6.43	USD	UPS	1ZF2C2469052889273	Seller	N	N	B0BG3DLRN6	220944-BarfCostumeSet-2X-3X	Costume Agent Space Balls Barf Halloween Cosplay Costume Set - 2XL-3XL - Barf Costume	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	86.39	1	BUYER_USED_WRONG_RETURN_REASON_CODE	47501-56976-0688208	GRANT	12-Sep-2024	6.43	86.39
113-5949276-5009867	26-Aug-2024	31-Aug-2024	Approved	DsMxmGG0RRMA	 	AmazonPrePaidLabel	6.43	USD	UPS	1ZF2C2469052885624	Seller	N	N	B0BG3DLRN6	220944-BarfCostumeSet-2X-3X	Costume Agent Space Balls Barf Halloween Cosplay Costume Set - 2XL-3XL - Barf Costume	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	86.39	1	BUYER_USED_WRONG_RETURN_REASON_CODE	47501-56976-0688208	GRANT	12-Sep-2024	6.43	 
111-4189411-6724242	25-Aug-2024	31-Aug-2024	Approved	DkMtmdGBRRMA	 	AmazonPrePaidLabel	5.07	USD	USPS	9302010949890083812730	Seller	N	N	B001D1H6UW	amywinehousewig	Character Wig, Rehab	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	23.43	1	 	 	 	 	 	23.43
113-8307579-6707406	28-Aug-2024	31-Aug-2024	Approved	D5VKmbGCRRMA	 	AmazonPrePaidLabel	6.79	USD	UPS	1ZF2C2469052832118	Seller	N	N	B01LBRLFSQ	100576BLACK-S	Caribbean Movies Pirate Boots Adventure Footwear Halloween Costume Cosplay Accessory Black	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	69.95	1	ORDER_IN_RE_SELLABLE_CONDITION	76580-46389-5265434	NOGRANT	26-Sep-2024	 	69.95
114-7607956-0483464	28-Aug-2024	31-Aug-2024	Approved	DtVPmWG1RRMA	 	AmazonPrePaidLabel	4.02	USD	USPS	9302010949890083765104	Seller	N	N	B01JSFMX7U	suicidesquad003-XS	DC Comics Suicide Squad Harley Quinn Daddy Little Monster Movie Costume for Women White Short Sleeve T-Shirt for Cosplay	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	30.19	1	 	 	 	 	 	 
111-5553247-0334616	20-Aug-2024	31-Aug-2024	Approved	DKtzmzGvRRMA	 	AmazonPrePaidLabel	4.47	USD	USPS	9302010949890083770948	Seller	N	N	B0CVRBH7YF	1814-BlackHat-OS	1814 Music Nation Black Embroidered Snap Back Adjustable Hat	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	23.71	1	INVALID_SELLER_REFUND_OR_DEBIT	62677-33658-1895143	GRANT	17-Sep-2024	6.42	23.71
112-8699700-8389022	15-Aug-2024	31-Aug-2024	Approved	DQbQm5GhRRMA	 	AmazonPrePaidLabel	6.43	USD	UPS	1ZF2C2469052776180	Seller	N	N	B008BIW704	mypony007-M	My Little Pony Retro Pony Stance with Colored Studs Black V-Neck Juniors T-shirt (Juniors Medium)	1	CR-QUALITY_UNACCEPTABLE	Y	Amazon CS	RefundAtFirstScan	 	 	12.50	1	ORDER_IN_RE_SELLABLE_CONDITION	80410-70905-0224202	NOGRANT	09-Oct-2024	 	12.50
114-7186107-7901015	23-Aug-2024	31-Aug-2024	Approved	Dxb3mPG9RRMA	 	AmazonPrePaidLabel	5.93	USD	USPS	9302010949890083741962	Customer	N	N	B07YQBQWKC	220745-AhoySailorCostume-WOMENS-S/M	Costume Agent Adult Womens Robin Ahoy Sailor Halloween Costume Cosplay Set (Small/Medium)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	27.90	1	 	 	 	 	 	21.97
