Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-1546246-5029032	09-Mar-2024	31-Mar-2024	Approved	DfHxd8stRRMA	 	AmazonPrePaidLabel	4.38	USD	USPS	9302010949890039201625	Seller	N	N	B08KSJKR7T	M&M-Yellow-JUNIORS-Shirt-M	M&M's Candy Cartoon Character Women's Juniors Halloween Costume T-Shirt Tee Yellow	1	DID_NOT_LIKE_FABRIC	Y	C-Returns	StandardRefund	 	 	22.99	1	 	 	 	 	 	 
111-0331033-5068275	15-Mar-2024	31-Mar-2024	Approved	DqHCd3ssRRMA	 	AmazonPrePaidLabel	5.45	USD	USPS	9302010949890039197171	Seller	N	N	B0B3JVM3BM	sbb015n-M	Bayside High Womens Kelly Kapowski Off The Shoulder Wide Cut Neck Top Tigers Sweatshirt (as1, Alpha, m, Regular, Regular, Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	AutomatedRefund	 	 	69.04	2	BUYER_USED_WRONG_RETURN_REASON_CODE	13286-63333-1640034	GRANT	08-May-2024	5.54	34.52
111-6714157-6009041	25-Mar-2024	31-Mar-2024	Approved	DqHmdtsVRRMA	 	AmazonPrePaidLabel	5.98	USD	UPS	1ZC1G2149060635743	Seller	N	N	B09BW3MBGW	220795-UptownOverall-L	Uptown Girls Overall Embroidered Denim Dress Womens Halloween Costume Cosplay	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	32.42	1	 	 	 	 	 	32.42
112-3144334-7812202	13-Mar-2024	31-Mar-2024	Approved	DxH3dWs9RRMA	 	AmazonPrePaidLabel	3.96	USD	USPS	9302010949890039186151	Seller	N	N	B016X4YD3G	scarfaceglasses001	Scarface Tony Montana Black Gradiant Sunglasses	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	 	17.37	1	 	 	 	 	 	17.37
113-1693397-8562601	24-Mar-2024	31-Mar-2024	Approved	DWlBd2shRRMA	 	AmazonPrePaidLabel	5.98	USD	UPS	1ZC1G2149060626646	Seller	N	N	B008VVEEIY	powerrangerssweatshirtBlue-XL	Power Rangers Blue Hooded Costume Sweatshirt (Adult X-Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	54.07	1	ORDER_IN_RE_SELLABLE_CONDITION	89101-18790-5564740	NOGRANT	26-Apr-2024	 	54.07
112-0529312-3914633	29-Feb-2024	31-Mar-2024	Approved	D4lGdSsWRRMA	 	AmazonPrePaidLabel	5.98	USD	UPS	1ZC1G2149060622980	Seller	N	N	B001QWXAE4	flinttropicssocks	flint tropics Semi-pro Jackie Moon Tube Socks	1	CR-UNWANTED_ITEM	Y	C-Returns	AutomatedRefund	 	 	67.35	2	ORDER_IN_RE_SELLABLE_CONDITION	54557-57621-3859262	NOGRANT	23-Apr-2024	 	13.90
112-0529312-3914633	29-Feb-2024	31-Mar-2024	Approved	D2lFdwsKRRMA	 	AmazonPrePaidLabel	5.98	USD	UPS	1ZC1G2149060619396	Seller	N	N	B001QWXAE4	flinttropicssocks	flint tropics Semi-pro Jackie Moon Tube Socks	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	67.35	2	ORDER_IN_RE_SELLABLE_CONDITION	54557-57621-3859262	NOGRANT	23-Apr-2024	 	 
113-5684293-0307448	26-Mar-2024	31-Mar-2024	Approved	D2lHd6sQRRMA	 	AmazonPrePaidLabel	9.89	USD	UPS	1ZC1G2149060612446	Seller	N	N	B09HR7L8YM	NSPH3266-NarutoPajamas	Ripple Junction Naruto Cosplay Halloween Costume Jumpsuit Pajamas with Hood for Unisex Adults Orange	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	63.05	1	INVALID_SELLER_REFUND_OR_DEBIT	13486-36096-0228659	GRANT	03-May-2024	14.95	63.05
112-6568483-5761860	24-Mar-2024	31-Mar-2024	Approved	DqYSdZs3RRMA	 	AmazonPrePaidLabel	6.74	USD	UPS	1ZC1G2149060596296	Seller	N	N	B01LBRLGPS	100576BLACK-M	Caribbean Movies Pirate Boots Adventure Footwear Halloween Costume Cosplay Accessory	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	82.22	1	 	 	 	 	 	 
111-8754368-1204207	14-Mar-2024	31-Mar-2024	Approved	DHYkdYsBRRMA	 	AmazonPrePaidLabel	5.38	USD	UPS	1ZC1G2149060580436	Seller	N	N	B0CHWN7DFD	221050-KenShirtShortsSet-L	Beauty Boy 80's Dool Movie Ken Button Up Shirt and Shorts Set Beach Outfit Halloween Costume Cosplay	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	30.05	1	CLAIM_CLOSED_MORE_INFO_REQUIRED	92030-67925-6187419	NOGRANT	11-May-2024	 	30.05
114-8097059-1704243	19-Mar-2024	31-Mar-2024	Approved	DYCcdKsfRRMA	 	AmazonPrePaidLabel	5.98	USD	UPS	1ZC1G2149060574050	Customer	N	N	B0CFMGKNKL	220980-SaltPepaCostume-L	Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	69.95	1	 	 	 	 	 	 
