Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-0627254-2673819	29-May-2024	31-May-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B00HNYCYPA	arrestedbobblehead001	Arrested Development Bluth Stair Car with Michael Bobblehead	1	CR-MISSING_PARTS	Y	C-Returns	ReturnlessReplacement	 	 	38.80	2	 	 	 	 	 	 
114-0849116-4849019	17-May-2024	31-May-2024	Approved	DpH4bhG2RRMA	 	AmazonPrePaidLabel	4.43	USD	USPS	9302010949890056270451	Seller	N	N	B01M4KYMVQ	YellowBandanaRedGlasses	Hulk Hogan Hulkamania Bandana Sunglasses Costume -Yellow-Red	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	20.37	1	 	 	 	 	 	 
111-0087177-0223472	01-May-2024	31-May-2024	Approved	DHLTb4GMRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469092531949	Customer	N	N	B076HCZG56	RacineBellsCostumeDressWomens-L/XL	Costume Agent Racine Belles AAGPBL Baseball Womens Costume Dress (L/XL)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	53.49	1	 	 	 	 	 	47.49
111-3782742-6025007	07-May-2024	31-May-2024	Approved	DjGBbQG5RRMA	 	AmazonPrePaidLabel	5.40	USD	UPS	1ZF2C2469092522584	Seller	N	N	B0CF2S5HG1	HRWD01UGJ-PurpleBlazerJacket-S	Mad Engine Wednesday Addams Purple Blazer Jacket School Crest Halloween Costume Cosplay	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	23.66	1	BUYER_USED_WRONG_RETURN_REASON_CODE	53860-52830-0639068	GRANT	18-Jun-2024	7.35	23.66
114-7833418-5657804	19-May-2024	31-May-2024	Approved	DTGrbYGPRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469092512040	Seller	N	N	B0094KLZQA	soaleathervest-S	TV Store SOA Sons of Anarchy Black Leather Highway Biker Vest (Adult Small)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	65.65	1	ORDER_IN_RE_SELLABLE_CONDITION	65775-22523-0600624	NOGRANT	29-Jul-2024	 	65.65
111-8432916-4561010	18-May-2024	31-May-2024	Approved	 	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B0771VBQMC	hulkbRed	Hulk Hogan Costume Bandana Hulkamania Logo -Red	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	ReturnlessRefund	 	 	13.15	1	 	 	 	 	 	13.15
112-5185111-7831469	01-May-2024	31-May-2024	Approved	DWrnbwGqRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469092426787	Seller	N	N	B0CDMW5GX7	221016-BananaCostumeDeluxe-STD	Video Game Yellow Banana Peeled Halloween Costume for Mens and Womens Unisex Cosplay	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	29.09	1	 	 	 	 	 	 
113-2383251-9872262	20-May-2024	31-May-2024	Approved	DLRDb2G8RRMA	 	AmazonPrePaidLabel	4.43	USD	USPS	9302010949890056079191	Seller	N	N	B004Q6ZH1Q	paul001-M	PAUL Movie , Evolve This uni-sex T-Shirt , M Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	AutomatedRefund	 	 	43.90	2	ORDER_IN_RE_SELLABLE_CONDITION	94686-37851-1881155	NOGRANT	12-Jun-2024	 	21.95
112-1481371-1494639	27-May-2024	31-May-2024	Approved	DLRDbwGyRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469092320631	Customer	N	N	B0CDMW4VBT	221016-BananaCostumeDeluxe-PLUS	Video Game Yellow Banana Peeled Halloween Costume for Mens and Womens Unisex Cosplay	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	48.75	1	INVALID_SELLER_REFUND_OR_DEBIT	48203-94432-9177445	GRANT	19-Jun-2024	17.0	42.75
111-1988744-2373840	28-Apr-2024	31-May-2024	Approved	D4nQbmGfRRMA	 	AmazonPrePaidLabel	4.43	USD	USPS	9302010949890056051418	Seller	N	N	B0085N9E2O	sein034-M	Seinfeld #1 Dad Light Blue Mens T-Shirt (Adult Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	19.39	1	 	 	 	 	 	19.39
113-4030368-1321029	27-May-2024	31-May-2024	Approved	DknXbtGtRRMA	 	AmazonPrePaidLabel	5.07	USD	USPS	9302010949890056042089	Seller	N	N	B07BDQJVJH	mm001Ngrn-3XL	M&M's Candy Silly Character Face T-Shirt Green	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	AutomatedRefund	 	 	22.95	1	ORDER_IN_RE_SELLABLE_CONDITION	89128-60780-6618158	NOGRANT	18-Jun-2024	 	22.95
112-0241085-9105078	15-May-2024	30-May-2024	Approved	DLPLbMGXRRMA	 	AmazonPrePaidLabel	5.40	USD	UPS	1ZF2C2469092233066	Seller	N	N	B07662GFKY	juno004-XXL	Costume Agent Juno Orange and White Pregnant Impersonation T-Shirt (Adult XX-Large)	2	DID_NOT_LIKE_COLOR	Y	C-Returns	RefundAtFirstScan	 	 	54.08	2	ORDER_IN_RE_SELLABLE_CONDITION	70015-71615-1284902	NOGRANT	18-Jun-2024	 	54.08
111-4423824-2529062	01-May-2024	30-May-2024	Approved	D7XjkLGqRRMA	 	AmazonPrePaidLabel	6.23	USD	USPS	9302010949890055985431	Seller	N	N	B00K34OI06	flocostume001	Costume Agent Progressive Flo TV Commercial Character Insurance Halloween Costume	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	43.51	1	ORDER_IN_RE_SELLABLE_CONDITION	24522-15813-1779656	NOGRANT	18-Jun-2024	 	43.51
113-5357547-9781064	26-May-2024	30-May-2024	Approved	DsXfkyGWRRMA	 	AmazonPrePaidLabel	6.00	USD	UPS	1ZF2C2469092167807	Customer	N	N	B0B835NJK9	leagueoftheirowncostume-2X/3X	Costume Agent Rockford Peaches Movie AAGPBL Baseball Dress Halloween Cosplay	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	47.65	1	 	 	 	 	 	41.65
