Order ID,Return request date,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason
113-8183734-4875453,01/22/25,B09CV7BSGK,204292-DeerRingSweater-L,Costume Agent Reindeer Ring Toss 3D Adult Ugly Christmas Sweater Multicolored,2,AMZ-PG-APP-TOO-SMALL
112-0022735-5252252,01/22/25,B0BF17NQVM,220938-DodgeballWarmups-XL,Costume Agent Dodgeball Joe's Team Jacket and Pants Warm-Ups Set Halloween Cosplay,1,AMZ-PG-APP-TOO-LARGE
111-9995608-2437040,01/22/25,B075MJK7LK,220697-MENS-MimeCostumeSet-M,Costume Agent Men's Mime Costume Set with Makeup Kit - Medium - Mime Costume Adult Male - Mime Halloween Costumes for Adults Man - Mens Mime Halloween Costume Multicoloured,1,CR-MISSED_ESTIMATED_DELIVERY
112-7108846-6263458,01/22/25,B00198K17Y,flash002-M,"Flash Gordon womens Bolt Ringer T-Shirt, Black, Medium",1,DID_NOT_LIKE_COLOR
113-8183734-4875453,01/22/25,B09CV7BSGK,204292-DeerRingSweater-L,Costume Agent Reindeer Ring Toss 3D Adult Ugly Christmas Sweater Multicolored,2,AMZ-PG-APP-TOO-SMALL
113-8183734-4875453,01/22/25,B09CV7BSGK,204292-DeerRingSweater-L,Costume Agent Reindeer Ring Toss 3D Adult Ugly Christmas Sweater Multicolored,2,DID_NOT_LIKE_COLOR
113-6739325-9268212,01/22/25,B0BC2C8BWK,220936-LegLampSkirt-L-XL,Costume Agent Xmas Movie Women's Christmas Leg Lamp Skirt Halloween Cosplay,1,AMZ-PG-APP-TOO-SMALL
114-9781750-4523464,01/22/25,B00QKQNRSA,uglyjacketsnow-XXL,Sequin Snowflakes Blue Ugly Christmas Suit Jacket (XX-Large),1,AMZ-PG-APP-TOO-SMALL
114-9781750-4523464,01/22/25,B00QKQNKYG,uglyjacketgbreadman-XXL,Costume Agent Sequin Gingerbread Man Ugly Christmas Suit Jacket (XX-Large),1,AMZ-PG-APP-TOO-SMALL
114-8518954-3313814,01/22/25,B0CKJ653ZZ,220994-SheriffKidsShirt-2T,Costume Agent Sheriff Woody Cowboy Shirt Kids Children Halloween Costume Cosplay Yellow,1,CR-ORDERED_WRONG_ITEM
112-9340405-1697051,01/22/25,B0BPW3H462,WuTangLogoSnowflakesUCS-S,Costume Agent Wu Tang Clan Logo Snowflakes Yellow Black White Ugly Christmas Sweater,1,AMZ-PG-APP-TOO-SMALL
114-5188695-6173869,01/22/25,B0DJWT4HCB,221062-NeroPizzaJacketHat-S,Little Neros Pizza Delivery Driver Christmas Movie White Jacket and Red Hat Complete Cosplay Halloween Costume Set (Small),1,CR-ORDERED_WRONG_ITEM
111-6902817-8564228,01/22/25,B07JD2L3M6,CY034-ChristmasStoryUnionSuit-XXL,Briefly Stated A Christmas Story Bunny Union Suit Pajama Costume (Adult XX-Large),1,CR-DEFECTIVE
113-8260638-6575424,01/22/25,B07YYJDCM6,CousinEddieSweater-XXL,Costume Agent Crazy Cousin V-Neck Sweater with Black Dickey Halloween Cosplay Costume for Adults - XX-Large - Crazy Halloween Costumes - Women Halloween Costumes,1,CR-UNWANTED_ITEM
111-4436575-9738659,01/22/25,B09BW1JS19,220836-ClarkSanta-L/XL,Costume Agent Clark Griswold Halloween Santa Claus Christmas Suit and Hat - L/XL - Griswolds Christmas Costumes - Adult Halloween Costumes,1,CR-MISSED_ESTIMATED_DELIVERY
114-0116280-0148261,01/22/25,B01LBRLFSQ,100576BLACK-S,Caribbean Movies Pirate Boots Adventure Footwear Halloween Costume Cosplay Accessory Black,1,AMZ-PG-APP-TOO-SMALL
111-5793682-7011463,01/22/25,B0CDDNN483,221004-CheerleaderWomens-M,"Costume Agent Cheerleader Halloween Costume for Mens and Womens Adult Unisex Varsity High School Cosplay, Medium",1,AMZ-PG-APP-TOO-SMALL
111-4260143-9971462,01/22/25,B09HWT1C5M,204092-RainbowCardigan-XL,Costume Agent Golf Rainbow Cardigan Sweater Caddy Halloween Cosplay,1,AMZ-PG-APP-TOO-SMALL
113-4511187-9341842,01/22/25,B0CHN5T4Y1,SRST02-StarTrekLS-Gold-M,Mad Engine-Adult Star Trek Long Sleeve Halloween Costume T-shirt Spock Captain Kirk Engineering Cosplay,1,AMZ-PG-APP-TOO-SMALL
113-4978484-1843439,01/22/25,B0934F1DB6,TMNTShirt-Youth-Raphael-XS,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt(X-Small, Raphael)",1,DID_NOT_LIKE_COLOR
114-4561052-2482640,01/22/25,B000LNE6CY,Hoff001-L,Don't Hassel The Hoff t-Shirt Blue (Large),1,DID_NOT_LIKE_COLOR
111-1026522-6881008,01/22/25,B000LNC658,Hoff001-XL,Don't Hassel The Hoff t-Shirt Blue (X-Large),1,DID_NOT_LIKE_COLOR
113-9002409-7909850,01/22/25,B07XYDVKMS,100600-BlueVikingHelmet,Costume Agent Viking Furry Blue Hat Helmet Adult Halloween Costume Accessory,1,DID_NOT_LIKE_FABRIC
112-4853300-1206629,01/22/25,B07JQXPQDB,FilthyAnimalLoungePants-XF003-L,Briefly Stated Merry Christmas Pajama Pants For Men and Women,1,AMZ-PG-APP-TOO-SMALL
112-4774150-8967421,01/21/25,B07FDL126R,RetroWigHeadband-1191,Costume Agent Retro 80s Aerobics Instructor Deluxe Wig and Headband Costume Set,1,AMZ-PG-BAD-DESC
114-3833408-0501028,01/21/25,B00Q7HHKIK,christmaslights001,Costume Agent Light-Up LED Ugly Christmas Sweater Ornaments Multi Color,2,CR-MISSED_ESTIMATED_DELIVERY
112-5632270-6841052,01/21/25,B00K34OI06,flocostume001,Costume Agent Progressive Flo TV Commercial Character Insurance Halloween Costume White,1,AMZ-PG-APP-STYLE
112-1772462-2738622,01/21/25,B09DXLTMF3,PRangersShirtYouth-Black-L,"Power Rangers Mighty Morphin Black Boys Youth Armor Costume T-Shirt (LG, Black)",1,AMZ-PG-APP-TOO-SMALL
114-9040276-9952218,01/21/25,B0DJ18B6YZ,MF24US207-SantaGrinchSuit-XL,Grinch with Santa Hat Face All Over Pajamas Jumpsuit - Christmas Union Suit with Hood and Pockets for Men and Women (X-Large) Multicolor,1,AMZ-PG-APP-TOO-LARGE
111-3152072-8424225,01/21/25,B07L454CKW,3DTRexUCS-L,Costume Agent 3D T-Rex Red and Green Adult Ugly Christmas Sweater (Large),1,AMZ-PG-APP-TOO-LARGE
111-3152072-8424225,01/21/25,B07L44G442,3DTRexUCS-XL,Costume Agent 3D T-Rex Red and Green Adult Ugly Christmas Sweater (X-Large),1,AMZ-PG-APP-TOO-SMALL
111-0115977-0061020,01/21/25,B0CJVLPKZH,DSMN-MensMonstersJacket-3XL,Mad Engine Monsters University Varsity Jacket Blue and White MU Logo Halloween Costume Cosplay,1,AMZ-PG-APP-TOO-LARGE
111-4245097-6956236,01/21/25,B0BPTLD8CX,220965-GhostSpiderOnesie-7-8,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (7/8),1,AMZ-PG-APP-STYLE
111-4327936-0911432,01/21/25,B07L1C4237,GrinchUnionSuit-Adult-S,MJC Grinch Family Faces Christmas Green and White Pajama Union Suit,1,AMZ-PG-APP-TOO-LARGE
111-4327936-0911432,01/21/25,B07L1DBY3T,GrinchUnionSuit-Adult-XL,MJC Grinch Family Faces Christmas Green and White Pajama Union Suit,1,AMZ-PG-APP-TOO-LARGE
