Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-6125779-7566645	14-Apr-2023	30-Apr-2023	Approved	DWJwcwrrRRMA	 	AmazonPrePaidLabel	6.21	USD	UPS	1Z0V2Y989036536255	Seller	N	N	B0BGMZRRYL	103015-BabyCarlosDollGlasses	Hangover Baby Carlos Doll Carrier and Glasses Halloween Costume Cosplay Accessory Multicolor	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	54.51	2	INVALID_SELLER_REFUND_OR_DEBIT	13282-02697-8243702	GRANT	15-May-2023	6.21	36.33
113-6125779-7566645	14-Apr-2023	30-Apr-2023	Approved	DhJjcTrrRRMA	 	AmazonPrePaidLabel	6.21	USD	UPS	1Z0V2Y989036547190	Seller	N	N	B0044M7KWQ	hangoverglasses	The Hangover Alan Movie Costume Sunglasses Glasses Replica	1	AMZ-PG-APP-STYLE	Y	C-Returns	RefundAtFirstScan	 	 	54.51	2	INVALID_SELLER_REFUND_OR_DEBIT	13282-02697-8243702	GRANT	15-May-2023	6.21	18.18
113-5756949-7635441	25-Apr-2023	30-Apr-2023	Approved	DFxDcbrgRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302101352	Seller	N	N	B08LQT4F3V	PowerRangers-Black-SLShirt-XS	Power Rangers Black Costume T-Shirt(Black,X-Small)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	21.78	1	INVALID_SELLER_REFUND_OR_DEBIT	17296-20431-5539361	GRANT	03-May-2023	3.97	21.78
112-7549895-8220221	23-Apr-2023	30-Apr-2023	Approved	D4xvc2rCRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302099413	Seller	N	N	B002717RSI	adventure001-L	Amusement Park Games Games Games Light Blue T-Shirt Tee (Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	21.99	1	 	 	 	 	 	 
113-8445505-1077836	18-Apr-2023	30-Apr-2023	Approved	Dtx1cWrKRRMA	 	AmazonPrePaidLabel	5.80	USD	UPS	1Z0V2Y989036527149	Customer	N	N	B013KVKC9O	starwars129-XL	Star Wars I Am Furry Chewbacca Chewie Brown Skater Dress Costume (Juniors X-Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	42.21	1	 	 	 	 	 	42.21
114-6954073-7881869	26-Apr-2023	30-Apr-2023	Approved	DZxGc0rtRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302094531	Seller	N	N	B006WBYRXW	sbtbslaterjersey-M	Saved By The Bell AC Slater #6 Bayside Tigers Costume Football Jersey (Adult Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	112.40	3	 	 	 	 	 	32.42
114-6954073-7881869	26-Apr-2023	30-Apr-2023	Approved	D7xvcxrtRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302093510	Seller	N	N	B002STMH70	acwig	Saved by the Bell AC Slater Costume Wig	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	112.40	3	 	 	 	 	 	 
114-6954073-7881869	26-Apr-2023	30-Apr-2023	Approved	DTx7cgrPRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302093664	Seller	N	N	B006WBYS6I	sbtbslaterjersey-L	Saved By The Bell AC Slater #6 Bayside Tigers Costume Football Jersey (Adult Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	112.40	3	 	 	 	 	 	32.42
113-6698034-3786630	25-Apr-2023	30-Apr-2023	Approved	DQxdcGr3RRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302090182	Seller	N	N	B007W58NHI	arrested011-L	Arrested Development Distressed Bluth's Original Frozen Banana Royal Blue Heather Mens T-shirt (Adult Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	43.54	2	 	 	 	 	 	21.77
113-9337715-3809855	22-Apr-2023	30-Apr-2023	Approved	Dqxvcgr7RRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090339598302092810	Seller	N	N	B0024L4YEQ	wutang001-S	Wu-Tang Clan Logo Black T-Shirt Tee	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	24.56	1	INVALID_SELLER_REFUND_OR_DEBIT	20268-09240-8521823	GRANT	05-May-2023	3.97	24.56
