Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
111-5795733-5176202	25-Aug-2023	31-Aug-2023	Approved	DLLyBgdTRRMA	 	AmazonPrePaidLabel	6.14	USD	UPS	1ZA81G969025367458	Seller	N	N	B0BGMZRRYL	103015-BabyCarlosDollGlasses	Hangover Baby Carlos Doll Carrier and Glasses Halloween Costume Cosplay Accessory Multicolor	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	36.24	1	ORDER_IN_RE_SELLABLE_CONDITION	76845-41789-5820332	NOGRANT	14-Sep-2023	 	36.24
112-4109811-4774612	26-Aug-2023	31-Aug-2023	Approved	DrGNBfd8RRMA	 	AmazonPrePaidLabel	3.75	USD	USPS	9202090339598339843607	Seller	N	N	B00FZ3LVD2	powerrangers018red-18/24	Power Rangers Red Baby Ranger Romper Onesie (18-24 Months)	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	21.35	1	 	 	 	 	 	 
111-5731567-6287405	26-Aug-2023	31-Aug-2023	Approved	DTsdBsdhRRMA	 	AmazonPrePaidLabel	4.24	USD	USPS	9202090339598339825887	Seller	N	N	B01J6J58K2	mm003JRSred-XL	M&M's Chocolate Candy Character Face Red T-Shirt (Juniors X-Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	29.69	1	 	 	 	 	 	 
113-6609380-5059444	26-Aug-2023	31-Aug-2023	Approved	DYs3BbdfRRMA	 	AmazonPrePaidLabel	5.74	USD	UPS	1ZA81G969025328633	Seller	N	N	B00939OG7M	tmntapriloneilcostume-S/M	TV Store Teenage Mutant Ninja Turtles April O' Neil Yellow Ladies Costume Jumpsuit (Small/Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	63.55	1	 	 	 	 	 	63.55
113-4607744-3298602	25-Aug-2023	31-Aug-2023	Approved	DfswBkdcRRMA	 	AmazonPrePaidLabel	4.20	USD	USPS	9202090339598339818735	Seller	N	N	B004TNCJM6	hangover014-XL	Hangover The Alan Baby Bjorn With Graphic Human Tree Dark Khaki Adult Costume T-Shirt Tee (X-Large)	1	DID_NOT_LIKE_COLOR	Y	C-Returns	RefundAtFirstScan	 	 	25.04	1	 	 	 	 	 	25.04
113-8073346-5574638	14-Aug-2023	31-Aug-2023	Approved	Dvs6B9dkRRMA	 	AmazonPrePaidLabel	5.04	USD	USPS	9202090339598339805445	Seller	N	N	B01JSFN8CY	suicidesquad004-L	DC Comics Suicide Squad Harley Quinn Deluxe Sequins Panty (Large) Red/Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	30.26	1	 	 	 	 	 	 
113-7586376-7943443	27-Aug-2023	31-Aug-2023	Approved	Dfd2B6d7RRMA	 	AmazonPrePaidLabel	8.42	USD	UPS	1ZA81G969025280274	Seller	N	N	B0BBXGR6SR	220929-LucyDressAdult-XL	Lucy Comic Strip Good Grief Adult Halloween Costume Cosplay Blue Dress	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	48.10	1	INVALID_SELLER_REFUND_OR_DEBIT	64638-83049-7934208	GRANT	12-Sep-2023	8.42	48.10
112-6881049-8540209	25-Aug-2023	31-Aug-2023	Approved	DhdMBrd9RRMA	 	AmazonPrePaidLabel	3.90	USD	USPS	9202090339598339787185	Seller	N	N	B07YZV913P	GloboGymNecklace	Globo Gym Purple Cobras Stainless Steel Necklace Chain	1	CR-SWITCHEROO	Y	C-Returns	RefundAtFirstScan	 	 	21.60	1	 	 	 	 	 	21.60
114-6159724-5608262	23-Aug-2023	31-Aug-2023	Approved	DYrRBZdDRRMA	 	AmazonPrePaidLabel	4.44	USD	USPS	9202090339598339782326	Seller	N	N	B09JL7MJD5	QF009BBSTV-BlueyPajamas-6	American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (6), Blue	1	AMZ-PG-BAD-DESC	Y	C-Returns	StandardRefund	 	 	32.42	1	 	 	 	 	 	32.42
113-5911780-8898659	28-Aug-2023	31-Aug-2023	Approved	DqJRBFdmRRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598339774901	Seller	N	N	B00FZ3LQY6	powerrangers018pink-12/18	Power Rangers Pink Baby Ranger Romper Onesie (12-18 Months)	2	DID_NOT_LIKE_FABRIC	Y	C-Returns	RefundAtFirstScan	 	 	38.90	2	INVALID_EVIDENCE	86868-12575-2980869	NOGRANT	09-Sep-2023	 	39.90
