Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-6446141-5495445	02-May-2023	31-May-2023	Approved	D4dpxtrqRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052256081	Seller	N	N	B0041E5DF8	hangoversatchel	The Hangover Alan Man Purse Satchel Bag	1	AMZ-PG-APP-STYLE	Y	C-Returns	RefundAtFirstScan	 	 	52.23	1	INVALID_SELLER_REFUND_OR_DEBIT	84316-19098-2967756	GRANT	21-Jun-2023	8.48	52.23
111-9212065-0368250	02-May-2023	31-May-2023	Approved	D7dsxzrwRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052239546	Seller	N	N	B01M0USEIQ	blowupguitar	Wayne's World Blow Up Guitar Music Costume Prop	2	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	71.88	4	 	 	 	 	 	 
113-6639207-7470611	03-May-2023	31-May-2023	Approved	Drrjx0rHRRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598311579104	Seller	N	N	B000CDCPRG	pedro003-M	Napoleon Dynamite Liger T-Shirt Black	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	19.03	1	 	 	 	 	 	19.03
114-1278340-5175405	25-May-2023	31-May-2023	Approved	D2JqxprwRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052182544	Seller	N	N	B09BS5ZRXM	109019B-HocusPocusMARYCostume-XL	Disguise womens Mary Sanderson Costume, Deluxe Official Hocus Pocus Mary Dress Adult Sized Costumes, As Shown, Women s Size Plus 18-20	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	42.75	1	ORDER_IN_RE_SELLABLE_CONDITION	33069-74304-3238626	NOGRANT	23-Jun-2023	 	42.75
111-2138362-4817039	24-May-2023	31-May-2023	Approved	DxR9xJrMRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052136586	Seller	N	N	B01KKO84VM	starwars164-XXL	STAR WARS Stormtrooper Top and Pants Costume Set (Women's XX-Large)	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	32.92	1	BUYER_USED_WRONG_RETURN_REASON_CODE	34309-08494-0604154	GRANT	12-Jun-2023	5.78	32.92
113-6800332-2449835	10-May-2023	31-May-2023	Approved	DHpwx2rMRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052105734	Seller	N	N	B09HWV5LMN	204092-RainbowCardigan-M	Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	52.70	1	BUYER_USED_WRONG_RETURN_REASON_CODE	33000-01875-0556563	GRANT	06-Jun-2023	5.78	52.70
113-0198922-0609875	17-May-2023	31-May-2023	Approved	D7phx4rYRRMA	 	AmazonPrePaidLabel	5.78	USD	UPS	1Z0V2Y989052100355	Customer	N	N	B09HWV5LMN	204092-RainbowCardigan-M	Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	76.17	1	 	 	 	 	 	 
112-1781492-4477049	29-May-2023	31-May-2023	Approved	D2n1xWr0RRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598311509194	Seller	N	N	B00M9JDV5Q	tmntskater001leo-M	Teenage Mutant Ninja Turtles Green Costume Skater Dress (Medium, Leonardo)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	34.65	1	 	 	 	 	 	 
114-3564525-8361865	17-May-2023	31-May-2023	Approved	DWqfxcr1RRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598311480530	Seller	N	N	B07JDFYVQY	RickMortyPajamaSet-JCITV-L	Rick and Morty Spaceship Black Pajama Short and Top Set (Adult Large)	1	AMZ-PG-BAD-DESC	Y	C-Returns	RefundAtFirstScan	 	 	29.95	1	ORDER_IN_RE_SELLABLE_CONDITION	41430-90034-4741467	NOGRANT	06-Jun-2023	 	29.95
112-3952621-6035404	16-May-2023	31-May-2023	Approved	DYXH3grWRRMA	 	AmazonPrePaidLabel	4.31	USD	USPS	9202090339598311440947	Seller	N	N	B000CDAQEA	pedro001-L	Napoleon Dynamite Vote for Pedro T-Shirt	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	47.08	2	 	 	 	 	 	 
