Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-0954018-2240236	22-Mar-2023	31-Mar-2023	Approved	DvX2BbrRRRMA	 	AmazonPrePaidLabel	5.82	USD	UPS	1Z0V2Y989022100527	Seller	N	N	B00OPISZQE	ricflare001-yellow	Ric Flair Nature Boy Costume Robe and Wig	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	AutomatedRefund	 	 	44.95	1	 	 	 	 	 	44.95
113-6568243-7590627	30-Mar-2023	31-Mar-2023	Approved	DpScBJrhRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540181148289	Customer	N	N	B00CP8M3D2	mm001Nblu-L	Adult M&M’S Character Big Face T-Shirt	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	StandardRefund	 	 	24.84	1	 	 	 	 	 	 
112-7690627-8146637	29-Mar-2023	31-Mar-2023	Approved	DKS6BFrpRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540181144953	Seller	N	N	B07HHKSQTT	WuTangLoungePants-LN0010-52-M	Wu Tang Clan Logo Yellow and Black Lounge Pants (Adult Medium)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	26.82	1	ORDER_IN_RE_SELLABLE_CONDITION	20435-22134-9329367	NOGRANT	14-Apr-2023	 	26.82
112-3575068-8258632	25-Mar-2023	31-Mar-2023	Approved	DTSTBzrKRRMA	 	AmazonPrePaidLabel	5.82	USD	UPS	1Z0V2Y989022056924	Seller	N	N	B00FBPL6CK	dodgeball003-L	Dodgeball Average Joe's Adult Yellow Jersey Costume Set	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	102.93	2	INVALID_SELLER_REFUND_OR_DEBIT	63836-26088-9111017	GRANT	22-May-2023	7.28	 
114-2713323-8737812	23-Mar-2023	31-Mar-2023	Approved	DrSqB1rxRRMA	 	AmazonPrePaidLabel	5.82	USD	UPS	1Z0V2Y989022052188	Seller	N	N	B01LBRL5P4	220660bklxl	Magical Mermaid Black Sparkle Tail Deluxe Costume (L/XL)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	28.16	1	 	 	 	 	 	 
113-9947817-7085044	18-Mar-2023	31-Mar-2023	Approved	DvSqB3r3RRMA	 	AmazonPrePaidLabel	6.56	USD	UPS	1Z0V2Y989022054391	Seller	N	N	B00NZDIMDG	wildthingscostume001-XS	Where The Wild Things are Max Wolf Adult Costume (Adult X-Small)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	87.05	1	 	 	 	 	 	87.05
114-1158856-3790618	22-Mar-2023	31-Mar-2023	Approved	DvNDB6rjRRMA	 	AmazonPrePaidLabel	5.82	USD	UPS	1Z0V2Y989021995813	Customer	N	N	B09HW99L3M	204092-RainbowCardigan-L	Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	71.50	1	 	 	 	 	 	 
112-2939436-1693810	19-Mar-2023	31-Mar-2023	Approved	Dx4nBnrtRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540181080022	Customer	N	N	B0052FPC56	scottpilgrim004-L	Scott Pilgrim vs. The World Pixel Skull Adult Black with White Ringers T-shirt Tee (Adult Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	50.53	2	ORDER_IN_RE_SELLABLE_CONDITION	98385-26759-4994304	NOGRANT	04-Apr-2023	 	19.37
112-2939436-1693810	19-Mar-2023	31-Mar-2023	Approved	DL4LBhrTRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540181079262	Seller	N	N	B003VVH2NI	plumtree001-XL	Plumtree Scott Pilgrim Band Logo Gold T-Shirt Tee (X-Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	50.53	2	ORDER_IN_RE_SELLABLE_CONDITION	98385-26759-4994304	NOGRANT	04-Apr-2023	 	26.88
111-6070792-6580206	26-Mar-2023	31-Mar-2023	Approved	Dp4hBVrMRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540181077190	Seller	N	N	B0934G8T62	TMNTShirt-Youth-Donatello-XS	Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt(X-Small, Donatello)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	21.85	1	ORDER_IN_RE_SELLABLE_CONDITION	72657-13819-9398257	NOGRANT	04-Apr-2023	 	21.85
