Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-3847872-8104249	03-Sep-2023	30-Sep-2023	Approved	DhGbctdfRRMA	 	AmazonPrePaidLabel	5.33	USD	USPS	9202090339598347956184	Seller	N	N	B09345RR9J	TMNTShirt-Youth-Mike-XS	Nickelodeon Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt | Perfect for Christmas, Cosplay Events, Halloween & Themed Based Parties	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	21.82	1	 	 	 	 	 	 
112-1722185-7313835	28-Aug-2023	30-Sep-2023	Approved	DqGXckdMRRMA	 	AmazonPrePaidLabel	4.20	USD	USPS	9202090339598347943184	Seller	N	N	B0887LFPN8	3001-White-ChampionShirt-M	Hollywood Champion Adult White T-Shirt	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	24.44	1	 	 	 	 	 	 
113-0296435-8372243	24-Sep-2023	30-Sep-2023	Approved	DtGMcBd1RRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1ZA81G969039835381	Seller	N	N	B076HCZG56	RacineBellsCostumeDressWomens-L/XL	Racine Belles AAGPBL Baseball Womens Costume Dress (L/XL) Yellow	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	49.60	1	BUYER_USED_WRONG_RETURN_REASON_CODE	20193-55818-5491233	GRANT	09-Oct-2023	5.76	54.60
112-5157701-5569827	27-Sep-2023	30-Sep-2023	Approved	DBGNcjdsRRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1ZA81G969039833481	Seller	N	N	B005MYCCJQ	leagueoftheirowncostume-Small/Medium	Rockford Peaches AAGPBL Baseball Dress Halloween Costume Cosplay	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	48.88	1	 	 	 	 	 	 
111-1652424-2859443	22-Sep-2023	30-Sep-2023	Approved	D5GFc7dbRRMA	 	AmazonPrePaidLabel	4.81	USD	USPS	9202090339598347932713	Seller	N	N	B014LRDAVI	captamerica038-L	Marvel Captain America Sublimated Long Sleeve Costume T-Shirt (Adult Large)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	17.95	1	ORDER_IN_RE_SELLABLE_CONDITION	60540-96730-8583906	NOGRANT	30-Oct-2023	 	17.95
114-1393122-5315414	25-Sep-2023	30-Sep-2023	Approved	DTsJc6d8RRMA	 	AmazonPrePaidLabel	5.33	USD	USPS	9202090339598347930825	Customer	N	N	B0BG98W625	103011-ChuckyKidsShoes-9-10	Unisex Halloween Chuckie Good Guy Child Doll Horror Movie Cosplay Costume Shoes	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	32.43	1	DEDUCTION_MADE_TO_REFUND	87827-34191-3767114	NOGRANT	11-Oct-2023	 	27.10
112-9070260-0161866	29-Sep-2023	30-Sep-2023	Approved	Dtsqckd6RRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1ZA81G969039821396	Seller	N	N	B01KP1LI8G	ghost023-XL	Ghostbusters Venkman Costume Jumpsuit (X-Large) Khaki	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	57.76	1	BUYER_USED_WRONG_RETURN_REASON_CODE	95410-00812-8504954	GRANT	04-Oct-2023	5.76	57.76
114-6503726-6163442	24-Sep-2023	30-Sep-2023	Approved	Dqs9ctdYRRMA	 	AmazonPrePaidLabel	3.99	USD	USPS	9202090339598347925111	Seller	N	N	B07V3T8L6N	tmnt016-Leo-Mens-XS	Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Leonardo,X-Small)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	41.24	2	 	 	 	 	 	21.12
111-6223946-2361049	26-Sep-2023	30-Sep-2023	Approved	DHdKcpd5RRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598347907452	Seller	N	N	B08KSM4KFR	M&M-Yellow-JUNIORS-Shirt-L	Women's/Junior's M&M's Candy Cartoon Character Full Body T-Shirt (4 Colors) Yellow	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	23.34	1	 	 	 	 	 	 
112-3681235-5980209	29-Sep-2023	30-Sep-2023	Approved	DYdRcZd8RRMA	 	AmazonPrePaidLabel	6.15	USD	UPS	1ZA81G969039785373	Seller	N	N	B01LY8W2U0	wrestlingboots-SY	Pro Wrestling Costume Boots (Small, Yellow)	1	CR-DEFECTIVE	Y	C-Returns	RefundAtFirstScan	 	 	64.19	1	BUYER_USED_WRONG_RETURN_REASON_CODE	84282-09768-4670843	GRANT	04-Oct-2023	6.15	64.19
114-7872423-7821853	24-Sep-2023	30-Sep-2023	Approved	DhdmcBdlRRMA	 	AmazonPrePaidLabel	6.22	USD	USPS	9202090339598347917581	Seller	N	N	B01KKO85OI	starwars164-M	STAR WARS Stormtrooper Top and Pants Costume Set (Women's Medium) White/Black	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	32.76	1	ORDER_IN_RE_SELLABLE_CONDITION	59596-72970-2860101	NOGRANT	09-Oct-2023	 	32.76
114-2910756-5784210	21-Sep-2023	30-Sep-2023	Approved	DFdrcXdDRRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9202090339598347907186	Seller	N	N	B09JL7MJD5	QF009BBSTV-BlueyPajamas-6	American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (6), Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	31.95	1	 	 	 	 	 	 
