Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-4755292-1241847	23-Oct-2022	31-Jan-2023	Approved	Dt1BCCJnRRMA	 	AmazonPrePaidLabel	9.04	USD	UPS	1Z0V2Y979075562468	Seller	N	N	B0147ARPAG	sharkcostume-XXL	Katy Perry Left Shark Adult Plus Costume (XX-Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	76.07	1	 	 	 	 	 	38.03
114-0886075-1618665	18-Dec-2022	31-Jan-2023	Approved	Dk71CkJDRRMA	 	AmazonPrePaidLabel	9.04	USD	UPS	1Z0V2Y979075529727	Seller	N	N	B07L454CKW	3DTRexUCS-L	3D T-Rex Red and Green Adult Ugly Christmas Sweater (Large)	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	82.63	1	 	 	 	 	 	 
111-4190386-0956211	10-Oct-2022	31-Jan-2023	Approved	DpDjCqJfRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540164874228	Customer	N	N	B07FDL126R	RetroWigHeadband-1191	Retro 80s Aerobics Instructor Deluxe Wig and Headband Costume Set	1	CR-FOUND_BETTER_PRICE	Y	C-Returns	StandardRefund	 	 	27.30	1	 	 	 	 	 	28.60
114-5852086-4510666	06-Nov-2022	31-Jan-2023	Approved	D28BC6J0RRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540164856224	Customer	N	N	B0BGYLCCQW	UP-SashPinsFlag-Hat-KIDS	UP Deluxe Kids Halloween Costume Russell Cosplay Complete Set	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	61.51	1	VALID_DIFFERENT_CONDITION_ITEM_RECEIVED	56781-75041-8755746	GRANT	13-Feb-2023	14.98	57.19
114-1330454-2196207	11-Dec-2022	31-Jan-2023	Approved	DKglCRJlRRMA	 	AmazonPrePaidLabel	5.89	USD	UPS	1Z0V2Y979075467204	Seller	N	N	B09KMD6L5S	RMSM3878-RickMortyHoliday-XL	Rick and Morty Holiday Party Son of B I'm in Ugly Christmas Sweater Black	1	CR-DAMAGED_BY_CARRIER	Y	C-Returns	StandardRefund	 	 	59.95	1	 	 	 	 	 	 
112-5265339-4255420	25-Nov-2022	31-Jan-2023	Approved	DsglCkJPRRMA	 	AmazonPrePaidLabel	5.30	USD	UPS	1Z0V2Y979075463431	Seller	N	N	B09KMCMKD7	RMSM3878-RickMortyHoliday-L	Rick and Morty Holiday Party Son of B I'm in Ugly Christmas Sweater Black	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	64.60	1	 	 	 	 	 	 
112-1088246-0367410	22-Oct-2022	31-Jan-2023	Approved	D7M7CpJpRRMA	 	AmazonPrePaidLabel	3.97	USD	USPS	9202090153540164813821	Customer	N	N	B0B917Y5RX	1253-CobraKaiHawk-Red	Karate Cobra Mohawk Halloween Costume Blue and Red Wig Cosplay (Red)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	29.86	1	 	 	 	 	 	 
114-8737411-9956246	30-Nov-2022	31-Jan-2023	Approved	DrMWC3JdRRMA	 	AmazonPrePaidLabel	11.87	USD	UPS	1Z0V2Y979075408269	Seller	N	N	B07GSDDPD4	SantaBoots-100580-M	Adult Halloween Christmas Santa Claus Adult Costume Black Boots (Medium US 10-11)	1	CR-FOUND_BETTER_PRICE	Y	C-Returns	StandardRefund	 	 	64.58	1	 	 	 	 	 	60.63
111-9633596-9232245	15-Nov-2022	31-Jan-2023	Approved	DFMxCPJ6RRMA	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B07NSDBN21	ILoveXmasUCS-XL	I Love Xmas HOHOHO Light Up (LED) and Bells on Sleeve Ugly Christmas Sweater White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	75.72	1	 	 	 	 	 	75.72
113-2612087-2677057	16-Dec-2022	31-Jan-2023	Approved	DrM6CRJvRRMA	 	AmazonPrePaidLabel	5.30	USD	UPS	1Z0V2Y979075400203	Seller	N	N	B0BL2CLRKJ	DSSCDRA-MickeyHeadsHoliday-2XL	Mickey Mouse Santa Hat Cardigan Ugly Christmas Sweater Multicolor	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	35.77	1	 	 	 	 	 	 
