Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-6135951-4220237	12-Dec-2023	31-Dec-2023	Approved	D7dnNvs1RRMA	 	AmazonPrePaidLabel	8.82	USD	USPS	9201990153540215079576	Seller	N	N	B0BHMBKL39	PABR029-PabstSweater-4XL	Mad Engine Pabst Fair Isle Beer Adult Unisex Holiday Ugly Christmas Sweater Multicolored	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	56.19	1	 	 	 	 	 	 
111-7305369-5523443	09-Dec-2023	31-Dec-2023	Approved	DTdPNYs1RRMA	 	AmazonPrePaidLabel	24.49	USD	USPS	9201990153540215079873	Seller	N	N	B008XJ88SG	karatekidcobrakaidlxcostumetXL-Deluxe-XL	Karate Kid The DELUXE Cobra Kai Mens Replica Gi Costume (X-Large)	3	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	160.71	3	INVALID_SELLER_REFUND_OR_DEBIT	33570-33733-9961927	GRANT	29-Jan-2024	24.49	160.71
112-4018291-9682604	29-Nov-2023	31-Dec-2023	Approved	Dvd2N9ssRRMA	 	AmazonPrePaidLabel	4.15	USD	USPS	9302010949890019792938	Seller	N	N	B01JGPD4G6	metallica003-L	Metallica Logo Blue T-Shirt (Adult Large)	1	CR-UNWANTED_ITEM	Y	C-Returns	AutomatedRefund	 	 	23.95	1	ORDER_IN_RE_SELLABLE_CONDITION	51890-04291-3996220	NOGRANT	31-Jan-2024	 	23.95
113-2488912-4565831	24-Dec-2023	31-Dec-2023	Approved	DvdvNksvRRMA	 	AmazonPrePaidLabel	4.88	USD	USPS	9302010949890019789457	Seller	N	N	B09LRGMKBJ	GDSA2851TV-GratDeadPants-XL	Ripple Junction Grateful Dead Steal Your Face Adult Sleep Lounge Pants	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	32.30	1	INVALID_SELLER_REFUND_OR_DEBIT	92357-58074-4195034	GRANT	08-Feb-2024	9.95	32.30
111-4790898-7637806	19-Dec-2023	31-Dec-2023	Approved	DKrDNqsVRRMA	 	AmazonPrePaidLabel	6.09	USD	USPS	9302010949890019794307	Seller	N	N	B0B9CC7R59	220888-ToddMargoShinySuit-L-XL	Todd & Margo Shiny Silver Workout Top and Pants Deluxe Sweatsuit Costume Set for Halloween & Cosplay	1	CR-MISSED_ESTIMATED_DELIVERY	Y	C-Returns	StandardRefund	 	 	54.02	1	 	 	 	 	 	 
113-4492223-0302643	28-Dec-2023	31-Dec-2023	Approved	D7r9NHsyRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZA81G969095105091	Seller	N	N	B01N9CHRRS	uglywutang-2X	Wu-Tang Clan Logo Ugly Christmas Sweater (XX-Large) Black	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	AutomatedRefund	 	 	61.47	1	ORDER_IN_RE_SELLABLE_CONDITION	47903-90827-9730446	NOGRANT	06-Feb-2024	 	61.47
112-1395760-8788264	09-Nov-2023	31-Dec-2023	Approved	D8JQNFsKRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZA81G969095095129	Customer	N	N	B0B4F8PR2W	CousinEdRobe-Hat-SET	Cousin Eddie Costume Christmas Vacation White Robe, & HAT Halloween Costume Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	49.95	1	 	 	 	 	 	43.94
113-9203618-0113047	20-Dec-2023	31-Dec-2023	Approved	DvJhNds6RRMA	 	AmazonPrePaidLabel	7.18	USD	UPS	1ZA81G969095100416	Customer	N	N	B077DMQK4R	Inflatable001-BlackSanta8feet	Costume Agent Inflatable Indoor and Outdoor Christmas Decoration (8 feet, Black Santa)	1	CR-ORDERED_WRONG_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	42.35	1	 	 	 	 	 	35.17
112-3176747-5949020	13-Nov-2023	31-Dec-2023	Approved	DHJ3NQsQRRMA	 	AmazonPrePaidLabel	4.24	USD	USPS	9302010949890019781475	Seller	N	N	B07JQJRJTS	FilthyAnimalLoungePants-XF003-M	Briefly Stated Home Alone Ya Filthy Animal Christmas Pajama Pants For Men and Women	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	28.30	1	ORDER_IN_RE_SELLABLE_CONDITION	27685-18443-3719036	NOGRANT	29-Jan-2024	 	28.30
113-4844748-3909809	07-Nov-2023	31-Dec-2023	Approved	DfJ9NmszRRMA	 	AmazonPrePaidLabel	3.75	USD	USPS	9302010949890019773302	Seller	N	N	B0BKTGLVKL	HEKA00ZMSC-KoolAidShirt-XL	Kool Aid Trek Day Tie Dye T-Shirt for Mens and Womens Multicolor	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	 	13.47	1	 	 	 	 	 	 
112-0072864-0214622	23-Dec-2023	31-Dec-2023	Approved	DBJRNhsDRRMA	 	AmazonPrePaidLabel	6.01	USD	UPS	1ZA81G969095087692	Seller	N	N	B0CBVW7S24	uglysweater60N-2XL	Ripple Junction Seinfeld Festivus for The Rest of Us Pole Cream Ugly Christmas Sweater (as1, Alpha, xx_l, Regular, Regular)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	54.70	1	ORDER_IN_RE_SELLABLE_CONDITION	31477-79377-7732643	NOGRANT	08-Feb-2024	 	54.70
112-1238681-3049853	21-Dec-2023	31-Dec-2023	Approved	DHJwNJs9RRMA	 	AmazonPrePaidLabel	4.81	USD	USPS	9302010949890019773043	Seller	N	N	B00E5MZZ3G	sbb015-XXL	Saved By The Bell Kelly Kapowski Bayside Off The Shoulder Gray Juniors/Ladies Sweatshirt	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	37.62	1	INVALID_SELLER_REFUND_OR_DEBIT	82693-73291-2946726	GRANT	31-Jan-2024	2.95	37.62
113-9761086-1672259	26-Dec-2023	31-Dec-2023	Approved	D7xcNSshRRMA	 	AmazonPrePaidLabel	5.41	USD	UPS	1ZA81G969095079923	Seller	N	N	B0BGT661V8	220879-BrideChuckieKids-5-6	Bride of Evil Doll Tiffany Halloween Costume Cosplay Kids (5-6)	1	CR-UNAUTHORIZED_PURCHASE	Y	C-Returns	RefundAtFirstScan	 	 	36.75	1	INVALID_EVIDENCE	53086-73083-0340248	NOGRANT	04-Feb-2024	 	36.75
